VENDOR_ID,CLIENT,VENDOR_GSTIN,VENDOR_NAME,IDENTIFIER_TEXT,DOCUMENT_TEXT,MATCH_SCORE
SWIGGY_1105,SWIGGY,29BBHPK7880B1ZF,ANKEY ENTERPRISES,ANKEY ENTERPRISES 29BBHPK7880B1ZF ANKEY ENTERPRISES 29BBHPK7880B1ZF ANKEY ENTERPRISES 29BBHPK7880B1ZF ANKEY ENTERPRISES 29BBHPK7880B1ZF,ANKEY ENTERPRISES 29BBHPK7880B1ZF ANKEY ENTERPRISES 29BBHPK7880B1ZF ANKEY ENTERPRISES 29BBHPK7880B1ZF ANKEY ENTERPRISES 29BBHPK7880B1ZF,1
SWIGGY_1106,SWIGGY,36AAIFA4501G1ZV,ANKITHA ENTERPRISES,ANKITHA ENTERPRISES 36AAIFA4501G1ZV ANKITHA ENTERPRISES 36AAIFA4501G1ZV ANKITHA ENTERPRISES 36AAIFA4501G1ZV ANKITHA ENTERPRISES 36AAIFA4501G1ZV,ANKITHA ENTERPRISES 36AAIFA4501G1ZV ANKITHA ENTERPRISES 36AAIFA4501G1ZV ANKITHA ENTERPRISES 36AAIFA4501G1ZV ANKITHA ENTERPRISES 36AAIFA4501G1ZV,1
SWIGGY_1107,SWIGGY,33AIVPR6320H1ZY,ANNAI ENTERPRISES,ANNAI ENTERPRISES 33AIVPR6320H1ZY ANNAI ENTERPRISES 33AIVPR6320H1ZY ANNAI ENTERPRISES 33AIVPR6320H1ZY ANNAI ENTERPRISES 33AIVPR6320H1ZY,ANNAI ENTERPRISES 33AIVPR6320H1ZY ANNAI ENTERPRISES 33AIVPR6320H1ZY ANNAI ENTERPRISES 33AIVPR6320H1ZY ANNAI ENTERPRISES 33AIVPR6320H1ZY,1
SWIGGY_1108,SWIGGY,33BKEPM5748Q1ZI,ANNAI MMD BLUE CHIP SALES CORPORATION,ANNAI MMD BLUE CHIP SALES CORPORATION 33BKEPM5748Q1ZI ANNAI MMD BLUE CHIP SALES CORPORATION 33BKEPM5748Q1ZI,ANNAI MMD BLUE CHIP SALES CORPORATION 33BKEPM5748Q1ZI ANNAI MMD BLUE CHIP SALES CORPORATION 33BKEPM5748Q1ZI,1
SWIGGY_1109,SWIGGY,36ARWPS8203L2ZW,ANNAPURNA AGENCIES,ANNAPURNA AGENCIES 36ARWPS8203L2ZW ANNAPURNA AGENCIES 36ARWPS8203L2ZW ANNAPURNA AGENCIES 36ARWPS8203L2ZW ANNAPURNA AGENCIES 36ARWPS8203L2ZW,ANNAPURNA AGENCIES 36ARWPS8203L2ZW ANNAPURNA AGENCIES 36ARWPS8203L2ZW ANNAPURNA AGENCIES 36ARWPS8203L2ZW ANNAPURNA AGENCIES 36ARWPS8203L2ZW,1
SWIGGY_1110,SWIGGY,07AAMCA6026F1ZS,ANTIZE FOODS PVT LTD-GURGAON,ANTIZE FOODS PVT LTD-GURGAON 07AAMCA6026F1ZS ANTIZE FOODS PVT LTD-GURGAON 07AAMCA6026F1ZS,ANTIZE FOODS PVT LTD-GURGAON 07AAMCA6026F1ZS ANTIZE FOODS PVT LTD-GURGAON 07AAMCA6026F1ZS,1
SWIGGY_1111,SWIGGY,06AMZPM9872D1Z9,ANUJ MEHRA - GURGAON,ANUJ MEHRA - GURGAON 06AMZPM9872D1Z9 ANUJ MEHRA - GURGAON 06AMZPM9872D1Z9,ANUJ MEHRA - GURGAON 06AMZPM9872D1Z9 ANUJ MEHRA - GURGAON 06AMZPM9872D1Z9,1
SWIGGY_1112,SWIGGY,19ANQPM3832R1Z0,ANUSHKA,ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0,ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0 ANUSHKA 19ANQPM3832R1Z0,1
SWIGGY_1113,SWIGGY,33ARQPB6534K1ZM,APARAJITH AGRO FOOD PRODUCTS,APARAJITH AGRO FOOD PRODUCTS 33ARQPB6534K1ZM APARAJITH AGRO FOOD PRODUCTS 33ARQPB6534K1ZM,APARAJITH AGRO FOOD PRODUCTS 33ARQPB6534K1ZM APARAJITH AGRO FOOD PRODUCTS 33ARQPB6534K1ZM,1
SWIGGY_1114,SWIGGY,27AAWCA6591M1ZN,APARNA LOGITECH PRIVATE LIMITED,APARNA LOGITECH PRIVATE LIMITED 27AAWCA6591M1ZN APARNA LOGITECH PRIVATE LIMITED 27AAWCA6591M1ZN,APARNA LOGITECH PRIVATE LIMITED 27AAWCA6591M1ZN APARNA LOGITECH PRIVATE LIMITED 27AAWCA6591M1ZN,1
